release_id,company_id,issuer,issuer_group,role,origin,panel,published,month,category,category_group,ingredients,brand,tier,is_quasi_drug,is_renewal,is_edition,url
000000036.000004359,4359,ELCジャパン合同会社,ELCジャパン合同会社,brand_owner,global,core,2017-08-04,2017-08,,none,,クリニーク,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000036.000004359.html
000000020.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2017-09-21,2017-09,powder,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000020.000019685.html
000000004.000024471,24471,日本ロレアル株式会社　タカミ事業部,日本ロレアル株式会社,brand_owner,global,core,2017-11-21,2017-11,lipstick,makeup,,タカミ,ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000004.000024471.html
000000038.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2018-01-18,2018-01,sunscreen,skincare,,,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000038.000006944.html
000000001.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2018-01-29,2018-01,,none,,イニスフリー,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000001.000031376.html
000000039.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2018-02-05,2018-02,cream,skincare,,NIVEA,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000039.000006944.html
000000040.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2018-02-08,2018-02,,none,,NIVEA,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000040.000006944.html
000000041.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2018-03-07,2018-03,toner_lotion,skincare,,,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000041.000006944.html
000000026.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2018-03-22,2018-03,lipstick,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000026.000019685.html
000000006.000024471,24471,日本ロレアル株式会社　タカミ事業部,日本ロレアル株式会社,brand_owner,global,core,2018-04-02,2018-04,,none,,,mixed,0,1,0,https://prtimes.jp/main/html/rd/p/000000006.000024471.html
000000029.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2018-06-22,2018-06,lash_brow|base_makeup,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000029.000019685.html
000000044.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2018-07-31,2018-07,cream,skincare,,,プチプラ/ミドル,0,0,1,https://prtimes.jp/main/html/rd/p/000000044.000006944.html
000000009.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2018-08-24,2018-08,foundation,makeup,,,mixed,0,0,0,https://prtimes.jp/main/html/rd/p/000000009.000031376.html
000000032.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2018-09-21,2018-09,powder,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000032.000019685.html
000000033.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2018-09-26,2018-09,lipstick,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000033.000019685.html
000000011.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2018-10-01,2018-10,lipstick,makeup,,イニスフリー,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000011.000031376.html
000000009.000024471,24471,日本ロレアル株式会社　タカミ事業部,日本ロレアル株式会社,brand_owner,global,core,2018-10-10,2018-10,toner_lotion,skincare,,タカミ,ミドル,0,1,0,https://prtimes.jp/main/html/rd/p/000000009.000024471.html
000000024.000036737,36737,株式会社ポーラ,株式会社ポーラ,brand_owner,JP,core,2018-11-29,2018-11,base_makeup|powder|lipstick,makeup,,,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000024.000036737.html
000000046.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2018-12-13,2018-12,lip_balm|body|sunscreen|cream|face_wash,makeup,,NIVEA,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000046.000006944.html
000000015.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2018-12-21,2018-12,,none,,イニスフリー,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000015.000031376.html
000000016.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2018-12-26,2018-12,serum,skincare,,イニスフリー,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000016.000031376.html
000000041.000004359,4359,ELCジャパン合同会社,ELCジャパン合同会社,brand_owner,global,core,2018-12-28,2018-12,,none,,クリニーク,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000041.000004359.html
000000047.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2019-01-17,2019-01,toner_lotion|sunscreen,skincare,,,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000047.000006944.html
000000019.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2019-02-15,2019-02,,none,,イニスフリー,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000019.000031376.html
000000049.000006944,6944,ニベア花王株式会社,ニベア花王株式会社,brand_owner,global,core,2019-02-28,2019-02,,none,,NIVEA,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000049.000006944.html
000000324.000001572,1572,株式会社石澤研究所,株式会社石澤研究所,brand_owner,JP,core,2019-03-11,2019-03,serum,skincare,,,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000324.000001572.html
000000001.000042040,42040,株式会社セザンヌ化粧品,セザンヌ化粧品株式会社,brand_owner,JP,core,2019-03-18,2019-03,lipstick|blush,makeup,,CEZANNE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000001.000042040.html
000000002.000042040,42040,株式会社セザンヌ化粧品,セザンヌ化粧品株式会社,brand_owner,JP,core,2019-03-20,2019-03,eye_makeup|lash_brow|serum,makeup,,CEZANNE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000002.000042040.html
000000020.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2019-03-22,2019-03,serum,skincare,,,mixed,0,0,0,https://prtimes.jp/main/html/rd/p/000000020.000031376.html
000000041.000019685,19685,株式会社 井田ラボラトリーズ,株式会社井田ラボラトリーズ,brand_owner,JP,core,2019-03-22,2019-03,eye_makeup,makeup,,CANMAKE,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000041.000019685.html
000000021.000031376,31376,アモーレパシフィックジャパン株式会社,アモーレパシフィックジャパン株式会社,brand_owner,KR,core,2019-04-15,2019-04,,none,,イニスフリー,プチプラ/ミドル,0,0,0,https://prtimes.jp/main/html/rd/p/000000021.000031376.html
000000003.000042040,42040,株式会社セザンヌ化粧品,セザンヌ化粧品株式会社,brand_owner,JP,core,2019-04-16,2019-04,concealer,makeup,,,プチプラ,0,0,0,https://prtimes.jp/main/html/rd/p/000000003.000042040.html
000000042.000004359,4359,ELCジャパン合同会社,ELCジャパン合同会社,brand_owner,global,core,2019-04-17,2019-04,cleansing,skincare,,クリニーク,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000042.000004359.html
000000048.000036737,36737,株式会社ポーラ,株式会社ポーラ,brand_owner,JP,core,2019-04-24,2019-04,,none,,POLA,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000048.000036737.html
000000054.000036737,36737,株式会社ポーラ,株式会社ポーラ,brand_owner,JP,core,2019-05-22,2019-05,foundation|base_makeup,makeup,,POLA,デパコス,0,0,0,https://prtimes.jp/main/html/rd/p/000000054.000036737.html
000000020.000024471,24471,日本ロレアル株式会社　タカミ事業部,日本ロレアル株式会社,brand_owner,global,core,2019-05-24,2019-05,,none,,タカミ,ミドル,0,1,0,https://prtimes.jp/main/html/rd/p/000000020.000024471.html
