channel_name,search_category,video_count,total_views,total_comments,tier_group
EGA.channel,敏感肌・乾燥肌,1,596344,315,skincare
ヨガ的美容家 エリカ,エイジングケア,1,585330,98,skincare
mizuno yuka水野 祐香,敏感肌・乾燥肌,1,578255,128,skincare
友利新公式チャンネル(内科・皮膚科医),日焼け止め,2,576141,182,skincare
Tsumiki つみき,敏感肌・乾燥肌,1,562602,133,skincare
lumily,日焼け止め,1,544578,259,skincare
HIRO BEAUTY CHANNEL,乳液・クリーム,1,503843,195,skincare
はなふさ皮膚科17院　花房火月のチャンネル,乳液・クリーム,1,496900,186,skincare
キヨキヨの美容チャンネル,韓国コスメ,1,487982,113,korean
みかみ / ヘアセットの先生,メンズ・プチプラ,1,487340,301,skincare
ガルちゃん美容ニュース,メンズ・プチプラ,1,473145,67,skincare
水越みさと,成分・知識,1,470162,148,skincare
Tsumiki つみき,アイシャドウ,1,446124,151,cosmetics
Lab Muffin Beauty Science,日焼け止め,1,445847,1322,skincare
すみしょう,日焼け止め,2,441408,252,skincare
さきめぐ Beauty Class【美容家・化粧品開発者】,敏感肌・乾燥肌,2,434044,211,skincare
のべちゃん,敏感肌・乾燥肌,1,422092,139,skincare
ワールドベスト チャンネル,化粧水,1,420289,224,skincare
MERY,口紅・リップ,1,404801,70,cosmetics
ニキ美ユーチューバー【インシ】,ファンデーション,1,399208,167,cosmetics
水越みさと,日焼け止め,1,399004,154,skincare
長井かおり | おしゃべりメイクBOX,その他メイク,1,390436,99,cosmetics
美容皮膚お悩み相談室【ルーチェクリニック】,成分・知識,1,359351,76,skincare
鹿の間,敏感肌・乾燥肌,1,338331,197,skincare
さきめぐ Beauty Class【美容家・化粧品開発者】,エイジングケア,1,335562,200,skincare
友利新公式チャンネル(内科・皮膚科医),敏感肌・乾燥肌,1,308743,96,skincare
ハナミ  肌荒れが人生,乳液・クリーム,1,299845,217,skincare
Hyukヒョク,韓国コスメ,2,274973,297,korean
ありちゃん〜毎月の支出の半分をコスメに充てる女〜,口紅・リップ,1,226829,75,cosmetics
美容家 石井美保 ボーテストTV,韓国コスメ,1,220472,80,korean
さきめぐ Beauty Class【美容家・化粧品開発者】,化粧水,1,197969,175,skincare
Mom Moments,エイジングケア,1,173299,196,skincare
鹿の間,アイシャドウ,1,167155,125,cosmetics
兵藤小百合｜さゆりメイク,メンズ・プチプラ,1,160685,82,skincare
長井かおり | おしゃべりメイクBOX,韓国コスメ,1,153593,54,korean
さきめぐ Beauty Class【美容家・化粧品開発者】,メンズ・プチプラ,1,139418,225,skincare
