review_id,umap_x,umap_y,review_year,tier,dominant_topic,topic_confidence,source_name,rating,tier_group
12981,0.5574,-1.2567,2019,skincare,Skin T3,0.9264272755718038,cosme,3.0,skincare
12982,-0.8743,-0.0327,2019,skincare,Skin T4,0.8898668482122923,cosme,5.0,skincare
12983,0.8381,1.8353,2019,skincare,Skin T5,0.9261440130293414,cosme,5.0,skincare
14530,-4.9204,0.9679,2019,skincare,Skin T1,0.49871588090512176,cosme,4.33,skincare
14531,-5.0989,1.1446,2019,skincare,Skin T1,0.6160778428572984,cosme,5.0,skincare
14533,-4.7212,0.8404,2019,skincare,Skin T5,0.6816604699049792,cosme,1.67,skincare
14534,-4.9474,1.0281,2019,skincare,Skin T3,0.5709803755875676,cosme,5.0,skincare
14535,-5.016,1.1286,2019,skincare,Skin T5,0.6266102103771837,cosme,3.0,skincare
14536,-4.7655,1.2118,2019,skincare,Skin T1,0.9198182207649274,cosme,4.33,skincare
14538,-1.3662,0.7879,2019,skincare,Skin T1,0.4710726583976139,cosme,3.67,skincare
491,-4.4529,1.2792,2019,skincare,Skin T1,0.5503356451895616,cosme,1.67,skincare
492,-2.7582,-1.5159,2019,skincare,Skin T2,0.9496504210080117,cosme,4.33,skincare
493,-2.9002,-2.6494,2019,skincare,Skin T3,0.49484206603877334,cosme,3.0,skincare
495,-1.1514,-1.003,2019,skincare,Skin T1,0.6084851453231014,cosme,2.33,skincare
496,-1.304,0.7236,2019,skincare,Skin T2,0.9108912790962571,cosme,3.67,skincare
497,-2.9808,-2.6555,2019,skincare,Skin T2,0.5264646464740227,cosme,4.33,skincare
498,3.9083,1.0914,2019,skincare,Skin T2,0.759180732203204,cosme,3.0,skincare
499,-3.9098,0.1061,2019,skincare,Skin T3,0.5338855860262435,cosme,3.67,skincare
500,-2.2757,-2.8962,2019,skincare,Skin T2,0.5590989350537211,cosme,1.67,skincare
4191,-1.14,3.1611,2019,skincare,Skin T4,0.9577082580701707,cosme,3.67,skincare
4192,2.4422,6.7106,2019,skincare,Skin T4,0.4718768937775621,cosme,4.33,skincare
4193,-2.1063,1.1542,2019,skincare,Skin T5,0.952844463334754,cosme,3.0,skincare
4194,0.3718,-0.9024,2019,skincare,Skin T3,0.42796119918307884,cosme,4.33,skincare
4195,-0.1232,0.5269,2019,skincare,Skin T5,0.9194219461576179,cosme,4.33,skincare
4196,1.9099,7.8802,2019,skincare,Skin T4,0.9519715491689188,cosme,3.67,skincare
4197,2.5448,3.0139,2019,skincare,Skin T5,0.6474132629649935,cosme,4.33,skincare
4198,-1.1729,1.9446,2019,skincare,Skin T5,0.4076022940788942,cosme,3.0,skincare
4199,-0.5338,-4.091,2019,skincare,Skin T5,0.6616201542046358,cosme,5.0,skincare
4527,-2.4881,-1.7281,2019,skincare,Skin T3,0.8062662463517203,cosme,3.67,skincare
4528,-0.2074,-4.0729,2019,skincare,Skin T2,0.8389288180787845,cosme,4.33,skincare
5003,2.1226,7.9007,2019,skincare,Skin T3,0.7836743194634554,cosme,2.33,skincare
5005,-3.5928,3.3736,2019,skincare,Skin T3,0.5477798667681723,cosme,3.67,skincare
5006,2.3423,6.9312,2019,skincare,Skin T3,0.6159235016812209,cosme,4.33,skincare
5007,2.4424,7.9192,2019,skincare,Skin T3,0.5644254690173963,cosme,5.0,skincare
5008,1.6226,-2.2358,2019,skincare,Skin T3,0.8037850178892526,cosme,3.67,skincare
5009,2.1137,7.6033,2019,skincare,Skin T4,0.3819704330163995,cosme,4.33,skincare
5010,2.7549,6.5052,2019,skincare,Skin T4,0.4609451575831573,cosme,3.0,skincare
5012,1.8525,-2.17,2019,skincare,Skin T3,0.8314020063606267,cosme,3.0,skincare
7658,-2.7036,2.5022,2019,skincare,Skin T5,0.4239787722758483,cosme,1.0,skincare
12448,0.5311,-1.1367,2019,skincare,Skin T5,0.7268810499618247,cosme,5.0,skincare
12449,0.7011,1.9967,2019,skincare,Skin T2,0.493724812013342,cosme,4.33,skincare
14919,-0.5458,-2.3288,2019,skincare,Skin T2,0.8235276142788175,cosme,2.33,skincare
15761,-0.7473,-1.8199,2019,skincare,Skin T4,0.43168594800009846,cosme,3.0,skincare
17435,3.3911,7.6882,2019,cosmetics,Cosm T1,0.661115131509063,cosme,5.0,cosmetics
7982,2.3616,-3.1153,2019,skincare,Skin T2,0.7301261900127806,cosme,4.33,skincare
7983,2.6398,-3.4448,2019,skincare,Skin T2,0.6702453307703526,cosme,3.67,skincare
7984,2.1545,-3.3625,2019,skincare,Skin T2,0.5641450750662088,cosme,3.67,skincare
7985,2.6894,-3.5298,2019,skincare,Skin T2,0.5100142255344576,cosme,4.33,skincare
7986,2.6461,-3.5116,2019,skincare,Skin T5,0.5000380179593692,cosme,3.0,skincare
7988,-1.0876,3.5613,2019,skincare,Skin T2,0.5066080445451346,cosme,3.67,skincare
7990,2.7017,-3.4513,2019,skincare,Skin T2,0.919665227977378,cosme,2.33,skincare
7991,2.7124,-3.552,2019,skincare,Skin T2,0.8434317793880458,cosme,3.0,skincare
18110,3.149,-3.2546,2019,cosmetics,Cosm T1,0.5907080292740163,cosme,4.33,cosmetics
18111,2.7854,-3.3114,2019,cosmetics,Cosm T3,0.6639308224021828,cosme,5.0,cosmetics
4993,2.0686,7.6048,2019,skincare,Skin T4,0.5363054127063936,cosme,3.0,skincare
4994,2.0622,7.5876,2019,skincare,Skin T3,0.7756586194336348,cosme,3.67,skincare
4996,1.993,7.6875,2019,skincare,Skin T5,0.5359071860227915,cosme,0.33,skincare
4997,3.114,-1.212,2019,skincare,Skin T3,0.6053575913817573,cosme,5.0,skincare
4998,1.8441,-1.969,2019,skincare,Skin T3,0.7821470044555049,cosme,5.0,skincare
5000,2.4623,-3.1919,2019,skincare,Skin T2,0.5275445493425125,cosme,1.67,skincare
5002,2.1896,-2.2974,2019,skincare,Skin T3,0.961799969893335,cosme,3.67,skincare
17434,1.8628,-2.0003,2019,cosmetics,Cosm T1,0.592723798201936,cosme,3.67,cosmetics
4180,-1.1733,3.2042,2019,skincare,Skin T1,0.9537762370387514,cosme,3.67,skincare
4182,-0.0671,0.4311,2019,skincare,Skin T4,0.3412127169719558,cosme,3.67,skincare
4183,0.6875,2.1159,2019,skincare,Skin T5,0.5070494465724045,cosme,5.0,skincare
4185,-0.9907,0.1549,2019,skincare,Skin T5,0.7178183656191139,cosme,5.0,skincare
4186,-2.7426,1.6866,2019,skincare,Skin T5,0.6642698903507726,cosme,5.0,skincare
4187,2.3309,6.3877,2019,skincare,Skin T4,0.2996157575470119,cosme,4.33,skincare
4188,3.4101,7.6141,2019,skincare,Skin T5,0.47008417932182067,cosme,4.33,skincare
