,Skincare 2019,Skincare 2020,Skincare 2021–22,Skincare 2023–26,Cosmetics 2020,Cosmetics 2021–22,Cosmetics 2023–26
Skincare 2019,1.000000000000001,0.5844094505972648,0.5174867977542382,0.3942649281626331,0.2586774386813867,0.3431386315530579,0.3240669025698415
Skincare 2020,0.5844094505972648,0.9999999999999991,0.634614261707058,0.50524429185263,0.22284217254893862,0.3593307140949884,0.385807157734098
Skincare 2021–22,0.5174867977542382,0.634614261707058,0.999999999999994,0.7875836984680281,0.2008144057150773,0.38979471947079164,0.5596982322861133
Skincare 2023–26,0.3942649281626331,0.50524429185263,0.7875836984680281,0.999999999999994,0.15538182019418392,0.38140354278616534,0.6968869500318473
Cosmetics 2020,0.2586774386813867,0.22284217254893862,0.2008144057150773,0.15538182019418392,1.0000000000000033,0.3427078805707329,0.21586359252022452
Cosmetics 2021–22,0.3431386315530579,0.3593307140949884,0.38979471947079164,0.38140354278616534,0.3427078805707329,1.0000000000000016,0.5833354314689316
Cosmetics 2023–26,0.3240669025698415,0.385807157734098,0.5596982322861133,0.6968869500318473,0.21586359252022452,0.5833354314689316,1.0000000000000002
