week_start,term,interest
2020-05-01,ビタミンC 美容,41
2020-05-01,レチナール,6
2020-05-01,レチノール,12
2020-06-01,アゼライン酸,2
2020-06-01,エクソソーム,5
2020-06-01,グルタチオン,17
2020-06-01,セラミド,43
2020-06-01,トラネキサム酸,21
2020-06-01,ナイアシンアミド,19
2020-06-01,ヒアルロン酸,46
2020-06-01,ビタミンC 美容,40
2020-06-01,レチナール,12
2020-06-01,レチノール,12
2020-07-01,アゼライン酸,2
2020-07-01,エクソソーム,7
2020-07-01,グルタチオン,20
2020-07-01,セラミド,38
2020-07-01,トラネキサム酸,25
2020-07-01,ナイアシンアミド,17
2020-07-01,ヒアルロン酸,41
2020-07-01,ビタミンC 美容,38
2020-07-01,レチナール,13
2020-07-01,レチノール,10
2020-08-01,アゼライン酸,2
2020-08-01,エクソソーム,7
2020-08-01,グルタチオン,18
2020-08-01,セラミド,41
2020-08-01,トラネキサム酸,22
2020-08-01,ナイアシンアミド,18
2020-08-01,ヒアルロン酸,48
2020-08-01,ビタミンC 美容,40
2020-08-01,レチナール,7
2020-08-01,レチノール,11
2020-09-01,アゼライン酸,2
2020-09-01,エクソソーム,5
2020-09-01,グルタチオン,19
2020-09-01,セラミド,42
2020-09-01,トラネキサム酸,22
2020-09-01,ナイアシンアミド,21
2020-09-01,ヒアルロン酸,52
2020-09-01,ビタミンC 美容,37
2020-09-01,レチナール,5
2020-09-01,レチノール,13
2020-10-01,アゼライン酸,2
2020-10-01,エクソソーム,6
2020-10-01,グルタチオン,18
2020-10-01,セラミド,50
2020-10-01,トラネキサム酸,24
2020-10-01,ナイアシンアミド,18
2020-10-01,ヒアルロン酸,56
2020-10-01,ビタミンC 美容,32
2020-10-01,レチナール,10
2020-10-01,レチノール,13
2020-11-01,アゼライン酸,1
2020-11-01,エクソソーム,4
2020-11-01,グルタチオン,17
2020-11-01,セラミド,60
2020-11-01,トラネキサム酸,24
2020-11-01,ナイアシンアミド,21
2020-11-01,ヒアルロン酸,59
2020-11-01,ビタミンC 美容,33
2020-11-01,レチナール,9
2020-11-01,レチノール,15
2020-12-01,アゼライン酸,1
2020-12-01,エクソソーム,6
2020-12-01,グルタチオン,15
2020-12-01,セラミド,51
2020-12-01,トラネキサム酸,24
2020-12-01,ナイアシンアミド,19
2020-12-01,ヒアルロン酸,51
2020-12-01,ビタミンC 美容,27
2020-12-01,レチナール,6
2020-12-01,レチノール,13
2021-01-01,アゼライン酸,2
2021-01-01,エクソソーム,5
2021-01-01,グルタチオン,18
2021-01-01,セラミド,56
2021-01-01,トラネキサム酸,23
2021-01-01,ナイアシンアミド,21
2021-01-01,ヒアルロン酸,54
2021-01-01,ビタミンC 美容,38
2021-01-01,レチナール,11
2021-01-01,レチノール,15
2021-02-01,アゼライン酸,4
2021-02-01,エクソソーム,5
2021-02-01,グルタチオン,19
2021-02-01,セラミド,52
2021-02-01,トラネキサム酸,25
2021-02-01,ナイアシンアミド,24
2021-02-01,ヒアルロン酸,55
2021-02-01,ビタミンC 美容,34
2021-02-01,レチナール,5
2021-02-01,レチノール,19
2021-03-01,アゼライン酸,3
2021-03-01,エクソソーム,4
2021-03-01,グルタチオン,17
2021-03-01,セラミド,43
2021-03-01,トラネキサム酸,26
2021-03-01,ナイアシンアミド,24
2021-03-01,ヒアルロン酸,54
2021-03-01,ビタミンC 美容,31
2021-03-01,レチナール,0
2021-03-01,レチノール,16
2021-04-01,アゼライン酸,3
2021-04-01,エクソソーム,5
2021-04-01,グルタチオン,20
2021-04-01,セラミド,44
2021-04-01,トラネキサム酸,25
2021-04-01,ナイアシンアミド,24
2021-04-01,ヒアルロン酸,59
2021-04-01,ビタミンC 美容,33
2021-04-01,レチナール,5
2021-04-01,レチノール,16
2021-05-01,アゼライン酸,3
2021-05-01,エクソソーム,7
2021-05-01,グルタチオン,19
2021-05-01,セラミド,46
2021-05-01,トラネキサム酸,29
2021-05-01,ナイアシンアミド,31
2021-05-01,ヒアルロン酸,52
