rakuten_product_id,tier_override
tnr:10000095,cosmetics
tnr:10000119,cosmetics
tnr:10000174,cosmetics
tomfordbeauty:10000000,cosmetics
tomfordbeauty:10000003,cosmetics
tomfordbeauty:10000122,cosmetics
towabox:10000606,cosmetics
tracolle:10003413,cosmetics
tvert:10000074,cosmetics
tvert:10000172,cosmetics
tvert:10000178,cosmetics
valueprice:10000024,cosmetics
werelig:10000038,cosmetics
yeppeuda:10000005,cosmetics
yeppeuda:10000006,cosmetics
ymgs1981:10000000,cosmetics
ymgs1981:10000004,cosmetics
yslbeauty:10000091,cosmetics
yslbeauty:10000149,cosmetics
yslbeauty:10000152,cosmetics
yslbeauty:10000187,cosmetics
yslbeauty:10000307,cosmetics
yslbeauty:10000365,cosmetics
yumebank:10000007,cosmetics
yumebank:10000009,cosmetics
0101marui:12123624,skincare
0101marui:12123640,skincare
129-ink:10000001,skincare
129-ink:10000002,skincare
129-ink:10000016,skincare
129-ink:10000018,skincare
129-ink:10000025,skincare
129-ink:10000036,skincare
129-ink:10000047,skincare
129-ink:10000053,skincare
40s-skincare:10000000,skincare
45cm-store:10000006,skincare
7esthe-pro:10027200,skincare
7esthe-pro:10027626,skincare
7esthe-pro:10029565,skincare
7esthe-pro:10030920,skincare
7esthe-pro:10033349,skincare
a-cueb:10000020,skincare
a-cueb:10000023,skincare
a-cueb:10000086,skincare
a-cueb:10000267,skincare
a-cueb:10000286,skincare
a-cueb:10000291,skincare
a-cueb:10000517,skincare
a-cueb:10000709,skincare
a-cueb:10000965,skincare
a-cueb:10000991,skincare
a-cueb:10002578,skincare
a-cueb:10003046,skincare
a-cueb:10003383,skincare
a-cueb:10003482,skincare
a-cueb:10004890,skincare
a-cueb:10005309,skincare
a-cueb:10005406,skincare
ablana:10000615,skincare
accent:10000001,skincare
accent:10000007,skincare
accent:10000009,skincare
accent:10000015,skincare
ada7:10000001,skincare
adom:10000158,skincare
adpentel:10000081,skincare
adpentel:10000082,skincare
adpentel:10000083,skincare
adpentel:10000084,skincare
adpentel:10000085,skincare
adpentel:10000087,skincare
adpentel:10000091,skincare
aequalis:10000117,skincare
aestura-japan:10000007,skincare
afc:10033720,skincare
afc:10033761,skincare
agea-official:10000000,skincare
aibeaute:10000087,skincare
aihome:10000070,skincare
aimere:10000486,skincare
aimere:10000496,skincare
aimere:10000497,skincare
aimere:10000673,skincare
aimere:10001726,skincare
aimere:10001788,skincare
aimere:10002082,skincare
aimere:10002083,skincare
aimere:10002095,skincare
aimere:10002861,skincare
akaran:10000001,skincare
akaran:10000006,skincare
akaran:10000019,skincare
akaran:10000049,skincare
akaran:10000130,skincare
akaran:10000237,skincare
akbeauty:10000001,skincare
albumec:10003261,skincare
almari:10000040,skincare
aloestore:10003265,skincare
and-a-me:10000023,skincare
and-be:10000039,skincare
angela-lash:10000142,skincare
angelingg:10000990,skincare
angfa:10000027,skincare
angfa:10000347,skincare
angfa:10001034,skincare
angfa:10003767,skincare
angfa:10003957,skincare
angfa:10004300,skincare
angfa:10005941,skincare
angfa:10005944,skincare
angfa:10006195,skincare
angfa:10006198,skincare
angfa:10008937,skincare
angfa:10009004,skincare
angfa:10009026,skincare
angfa:10009096,skincare
angfa:10009200,skincare
angfa:10009203,skincare
angfa:10009301,skincare
annuum:10000492,skincare
anshin-kenkou:10000006,skincare
anuajapan:10000000,skincare
anuajapan:10000021,skincare
anuajapan:10000149,skincare
anuajapan:10000190,skincare
anuajapan:10000282,skincare
anuajapan:10000361,skincare
anuajapan:10000382,skincare
aokinomori:10000156,skincare
apm24:10002122,skincare
apm24:10002135,skincare
apm24:10002137,skincare
apm24:10002139,skincare
apm24:10002229,skincare
apm24:10002295,skincare
apm24:10002314,skincare
apm24:10002319,skincare
apm24:10002365,skincare
apm24:10002567,skincare
apm24:10004660,skincare
apm24:10004682,skincare
apm24:10004760,skincare
apm24:10004883,skincare
apr-japan:10000376,skincare
apr-japan:10000839,skincare
apr-japan:10000862,skincare
aquatopia:10000213,skincare
areti:10000013,skincare
arianakosume:10000332,skincare
arianakosume:10000396,skincare
arianakosume:10002144,skincare
arianakosume:10003138,skincare
arianakosume:10005173,skincare
arianakosume:10006072,skincare
aromalab:10002535,skincare
asahiyama:10000687,skincare
ashiya:10000271,skincare
asiabnc:10000224,skincare
atbijin:10000605,skincare
attenir:10000226,skincare
attenir:10000227,skincare
attenir:10000230,skincare
attenir:10000231,skincare
attenir:10000235,skincare
attenir:10000239,skincare
attenir:10000244,skincare
attenir:10000246,skincare
attenir:10000250,skincare
attenir:10000252,skincare
attenir:10000276,skincare
attenir:10000284,skincare
attenir:10000286,skincare
attenir:10000303,skincare
attenir:10000312,skincare
attenir:10000313,skincare
attenir:10000388,skincare
attenir:10000446,skincare
attenir:10000449,skincare
attenir:10000451,skincare
attenir:10000503,skincare
attenir:10000505,skincare
attenir:10000521,skincare
attenir:10000534,skincare
attenir:10000546,skincare
attenir:10000557,skincare
attenir:10000605,skincare
attenir:10000615,skincare
auc-azzuro-:10001323,skincare
auc-azzuro-:10005689,skincare
auc-azzuro-:10020042,skincare
auc-azzuro-:10021044,skincare
auc-bioiv:10001893,skincare
auc-centrex:10000052,skincare
auc-naturas-psychos:10000681,skincare
aurora77:10000205,skincare
aurora77:10000388,skincare
aurora77:10000569,skincare
awawa:10000362,skincare
b-bell:10002289,skincare
b-bell:10002786,skincare
babycresco:10000472,skincare
babycresco:10000929,skincare
bali-matahari:10000153,skincare
bali-matahari:10000171,skincare
bali-matahari:10000187,skincare
baselab:10000308,skincare
baselab:10000367,skincare
bathlier:10002456,skincare
bathlier:10002458,skincare
bathlier:10002461,skincare
bathlier:10002984,skincare
bayubayu:10000226,skincare
bcl-official:10000626,skincare
bcl-official:10000725,skincare
be-garden:10000464,skincare
be-garden:10000577,skincare
be-garden:10000827,skincare
be-garden:10000828,skincare
be-garden:10000830,skincare
be-wey:10000025,skincare
beans-sa:10000003,skincare
beans-sa:10000004,skincare
beans-sa:10000494,skincare
beautifultoybox:10002409,skincare
beauty-bank:10000009,skincare
beauty-health-shop:10000007,skincare
beautyforest2018:10000125,skincare
beautyforest2018:10000703,skincare
beautyforest2018:10001266,skincare
beautyhair:10001396,skincare
beautymagic-japan:10000052,skincare
beautypark2017:10000950,skincare
beautypark2017:10000957,skincare
beautypark2017:10001825,skincare
beautypark2017:10003105,skincare
beautypark2017:10003107,skincare
becosme:10000292,skincare
belipu:10000011,skincare
benatural:10000782,skincare
bene-c:10000486,skincare
benkyo:10145514,skincare
benowa:10000232,skincare
benowa:10000680,skincare
bglen:10000000,skincare
bglen:10000002,skincare
bglen:10000004,skincare
bicle:10000044,skincare
bicle:10000089,skincare
bicle:10000102,skincare
bicle:10000161,skincare
bijin-cosme:10000004,skincare
bijin-cosme:10000287,skincare
bijin-cosme:10000347,skincare
bijin-cosme:10000355,skincare
bijinlabo:10000730,skincare
bilux:10000136,skincare
bio-fujisawa:10001302,skincare
bioderma:10000089,skincare
biohealboh:10000003,skincare
biohealboh:10000043,skincare
biotech-shop:10000639,skincare
birthbankshop:10000235,skincare
biyoukenko:10000007,skincare
blancnature:10000000,skincare
blancnature:10000002,skincare
bosii:10000010,skincare
bosii:10000013,skincare
botanical-peel:10000009,skincare
brain-service:10000078,skincare
brain-service:10000144,skincare
brain-service:10000265,skincare
brandshiseido:10000001,skincare
brandshiseido:10000010,skincare
brandshiseido:10000013,skincare
brandshiseido:10000016,skincare
brandshiseido:10000124,skincare
brightage-regain:10000021,skincare
brightage-regain:10000027,skincare
brightage-regain:10000038,skincare
brilliage1:10000112,skincare
bs-cosme:10000064,skincare
bs-cosme:10000065,skincare
bs-cosme:10000085,skincare
bs-cosme:10000086,skincare
bs-cosme:10000087,skincare
bs-cosme:10000091,skincare
bs-cosme:10000173,skincare
bs-cosme:10000239,skincare
bs-cosme:10000339,skincare
bs-cosme:10000442,skincare
bs-cosme:10000800,skincare
busy-official:10000000,skincare
bynaillabo:10000305,skincare
cadre:10000006,skincare
candy:10453497,skincare
candy:10454362,skincare
capellabeauty:10000009,skincare
cbja:10000145,skincare
cbja:10000153,skincare
ceevs:10000000,skincare
celebeauty:10000626,skincare
celebeauty:10000678,skincare
cella:10000015,skincare
cerapla:10000000,skincare
cerapla:10000002,skincare
cetaphil-official-gkk:10000149,skincare
cetaphil-official-gkk:10000168,skincare
cetaphil-official-gkk:10000169,skincare
chakasho-dina:10000331,skincare
chapon:10000001,skincare
charimeti:10000022,skincare
checarino:10000329,skincare
checarino:10000580,skincare
chouchou-store:10000080,skincare
churacos:10000117,skincare
churacos:10000122,skincare
churacos:10000203,skincare
churacos:10000217,skincare
cicib:10002793,skincare
cicib:10003257,skincare
cicibella-sports:10000967,skincare
cicibella-sports:10001399,skincare
ciracle:10000017,skincare
citrus-shop:10000018,skincare
cleosbeaute:10000010,skincare
cleosbeaute:10000032,skincare
clinique:10000110,skincare
clinique:10000111,skincare
clinique:10000124,skincare
clinique:10000149,skincare
clinique:10000158,skincare
clinique:10000165,skincare
clinique:10000166,skincare
clinique:10000286,skincare
clinique:10001017,skincare
clinique:10001023,skincare
clinique:10001156,skincare
clinique:10001164,skincare
co-medi:10000369,skincare
cocobambi:10000175,skincare
cocobeau:10003933,skincare
